,id,revenue,operating_income,net_income,operating_cashflow,total_assets,total_liabilities,profit_margin,operating_margin,revenue_growth,net_income_growth,asset_efficiency,debt_to_asset
id,1.0,0.9839959256588662,0.9817231437623972,0.9739998184509202,0.971968879673284,0.9482446073486689,0.9271508467906345,0.7803133221843176,0.9799853298994688,0.5807818322181704,-0.2601387680789223,0.5097597531029016,-0.9373371890106519
revenue,0.9839959256588662,1.0,0.9992457901807593,0.983696421481763,0.9939294385364535,0.9777710278386268,0.9302797055085781,0.7459156520193232,0.952893375169551,0.4912681794667224,-0.2533114330633808,0.46733850962017076,-0.9637114831786777
operating_income,0.9817231437623972,0.9992457901807593,1.0,0.9860546147679825,0.9962037501470621,0.976804024914628,0.9287360589484737,0.7532629086140891,0.956265891146271,0.4971570370386028,-0.25117525013997677,0.46962905026484336,-0.9632399022920493
net_income,0.9739998184509202,0.983696421481763,0.9860546147679825,1.0,0.9806049507649307,0.9457065498791144,0.896259752200479,0.8502425515884736,0.9667378750829223,0.4973630858370719,-0.1463242864477224,0.529505915632613,-0.9586868140397228
operating_cashflow,0.971968879673284,0.9939294385364535,0.9962037501470621,0.9806049507649307,1.0,0.9836176986563059,0.9444080640600886,0.7434950991199172,0.9465083325114451,0.5235223365210376,-0.2348224122429062,0.418855352968042,-0.9456455261926744
total_assets,0.9482446073486689,0.9777710278386268,0.976804024914628,0.9457065498791144,0.9836176986563059,1.0,0.9698754068227562,0.6660932348394315,0.8927617378213987,0.47253419057326634,-0.23769484604087754,0.27498433168659714,-0.913332892924904
total_liabilities,0.9271508467906345,0.9302797055085781,0.9287360589484737,0.896259752200479,0.9444080640600886,0.9698754068227562,1.0,0.6386444210613416,0.8728493663099224,0.6205875160497857,-0.2524148971463397,0.16897377061271127,-0.8094667825998391
profit_margin,0.7803133221843176,0.7459156520193232,0.7532629086140891,0.8502425515884736,0.7434950991199172,0.6660932348394315,0.6386444210613416,1.0,0.8387847191171671,0.4661843001751899,0.17866191483575478,0.6169175996684602,-0.7515962128925607
operating_margin,0.9799853298994688,0.952893375169551,0.956265891146271,0.9667378750829223,0.9465083325114451,0.8927617378213987,0.8728493663099224,0.8387847191171671,1.0,0.6401955562348306,-0.23338344649125728,0.6086195980513155,-0.9169999193802342
revenue_growth,0.5807818322181704,0.4912681794667224,0.4971570370386028,0.4973630858370719,0.5235223365210376,0.47253419057326634,0.6205875160497857,0.4661843001751899,0.6401955562348306,1.0,-0.15858104825272273,0.2581648663565329,-0.32391698863173307
net_income_growth,-0.2601387680789223,-0.2533114330633808,-0.25117525013997677,-0.1463242864477224,-0.2348224122429062,-0.23769484604087754,-0.2524148971463397,0.17866191483575478,-0.23338344649125728,-0.15858104825272273,1.0,-0.10568250108911456,0.18116624939201492
asset_efficiency,0.5097597531029016,0.46733850962017076,0.46962905026484336,0.529505915632613,0.418855352968042,0.27498433168659714,0.16897377061271127,0.6169175996684602,0.6086195980513155,0.2581648663565329,-0.10568250108911456,1.0,-0.5899861259272798
debt_to_asset,-0.9373371890106519,-0.9637114831786777,-0.9632399022920493,-0.9586868140397228,-0.9456455261926744,-0.913332892924904,-0.8094667825998391,-0.7515962128925607,-0.9169999193802342,-0.32391698863173307,0.18116624939201492,-0.5899861259272798,1.0
