Feature1,Feature2,Correlation,Recommendation
id,revenue,0.984,Consider removing one of these (high multicollinearity)
id,operating_income,0.9817,Consider removing one of these (high multicollinearity)
id,net_income,0.974,Consider removing one of these (high multicollinearity)
id,operating_cashflow,0.972,Consider removing one of these (high multicollinearity)
id,total_assets,0.9482,Consider removing one of these (high multicollinearity)
id,total_liabilities,0.9272,Consider removing one of these (high multicollinearity)
id,operating_margin,0.98,Consider removing one of these (high multicollinearity)
id,debt_to_asset,-0.9373,Consider removing one of these (high multicollinearity)
revenue,operating_income,0.9992,Consider removing one of these (high multicollinearity)
revenue,net_income,0.9837,Consider removing one of these (high multicollinearity)
revenue,operating_cashflow,0.9939,Consider removing one of these (high multicollinearity)
revenue,total_assets,0.9778,Consider removing one of these (high multicollinearity)
revenue,total_liabilities,0.9303,Consider removing one of these (high multicollinearity)
revenue,operating_margin,0.9529,Consider removing one of these (high multicollinearity)
revenue,debt_to_asset,-0.9637,Consider removing one of these (high multicollinearity)
operating_income,net_income,0.9861,Consider removing one of these (high multicollinearity)
operating_income,operating_cashflow,0.9962,Consider removing one of these (high multicollinearity)
operating_income,total_assets,0.9768,Consider removing one of these (high multicollinearity)
operating_income,total_liabilities,0.9287,Consider removing one of these (high multicollinearity)
operating_income,operating_margin,0.9563,Consider removing one of these (high multicollinearity)
operating_income,debt_to_asset,-0.9632,Consider removing one of these (high multicollinearity)
net_income,operating_cashflow,0.9806,Consider removing one of these (high multicollinearity)
net_income,total_assets,0.9457,Consider removing one of these (high multicollinearity)
net_income,total_liabilities,0.8963,Consider removing one of these (high multicollinearity)
net_income,profit_margin,0.8502,Consider removing one of these (high multicollinearity)
net_income,operating_margin,0.9667,Consider removing one of these (high multicollinearity)
net_income,debt_to_asset,-0.9587,Consider removing one of these (high multicollinearity)
operating_cashflow,total_assets,0.9836,Consider removing one of these (high multicollinearity)
operating_cashflow,total_liabilities,0.9444,Consider removing one of these (high multicollinearity)
operating_cashflow,operating_margin,0.9465,Consider removing one of these (high multicollinearity)
operating_cashflow,debt_to_asset,-0.9456,Consider removing one of these (high multicollinearity)
total_assets,total_liabilities,0.9699,Consider removing one of these (high multicollinearity)
total_assets,operating_margin,0.8928,Consider removing one of these (high multicollinearity)
total_assets,debt_to_asset,-0.9133,Consider removing one of these (high multicollinearity)
total_liabilities,operating_margin,0.8728,Consider removing one of these (high multicollinearity)
total_liabilities,debt_to_asset,-0.8095,Consider removing one of these (high multicollinearity)
profit_margin,operating_margin,0.8388,Consider removing one of these (high multicollinearity)
operating_margin,debt_to_asset,-0.917,Consider removing one of these (high multicollinearity)
