ticker,date,sector,category,risk_level,revenue,operating_income,net_income
AAPL,2005-12-31,Technology,Unknown,Medium Risk,5749000000.0,750000000.0,565000000.0
AAPL,2006-03-31,Technology,Stable,Low Risk,4359000000.0,529000000.0,410000000.0
AAPL,2006-06-30,Technology,Moderate Growth,Low Risk,4370000000.0,566000000.0,472000000.0
AAPL,2006-09-30,Technology,High Growth,Medium Risk,19315000000.0,2453000000.0,1989000000.0
AAPL,2006-12-31,Technology,Stable,Medium Risk,7115000000.0,1322000000.0,1004000000.0
AAPL,2007-03-31,Technology,Stable,Low Risk,5264000000.0,986000000.0,770000000.0
AAPL,2007-06-30,Technology,Moderate Growth,Low Risk,5410000000.0,1041000000.0,818000000.0
AAPL,2007-09-30,Technology,High Growth,Medium Risk,24006000000.0,4409000000.0,3495000000.0
AAPL,2007-12-31,Technology,Stable,Medium Risk,9608000000.0,2126000000.0,1581000000.0
AAPL,2008-03-31,Technology,Stable,Medium Risk,7512000000.0,1315000000.0,1045000000.0
AAPL,2008-06-30,Technology,Stable,Low Risk,7464000000.0,1392000000.0,1072000000.0
AAPL,2008-09-30,Technology,High Growth,Medium Risk,32479000000.0,6275000000.0,4834000000.0
AAPL,2008-12-31,Technology,Stable,Medium Risk,11880000000.0,3101000000.0,2255000000.0
AAPL,2009-03-31,Technology,Stable,Medium Risk,9084000000.0,2323000000.0,1620000000.0
AAPL,2009-06-30,Technology,Moderate Growth,Medium Risk,9734000000.0,2632000000.0,1828000000.0
AAPL,2009-09-30,Technology,High Growth,Medium Risk,42905000000.0,11740000000.0,8235000000.0
AAPL,2009-12-31,Technology,Stable,Low Risk,15683000000.0,4725000000.0,3378000000.0
AAPL,2010-03-31,Technology,Stable,Low Risk,13499000000.0,3979000000.0,3074000000.0
AAPL,2010-06-30,Technology,High Growth,Low Risk,15700000000.0,4234000000.0,3253000000.0
AAPL,2010-09-30,Technology,High Growth,Low Risk,65225000000.0,18385000000.0,14013000000.0
AAPL,2010-12-31,Technology,Stable,Low Risk,26741000000.0,7827000000.0,6004000000.0
AAPL,2011-03-31,Technology,Stable,Low Risk,24667000000.0,7874000000.0,5987000000.0
AAPL,2011-06-30,Technology,High Growth,Low Risk,28571000000.0,9379000000.0,7308000000.0
