ticker,date,sector,category,risk_level,revenue,operating_income,net_income
AAPL,2006-09-30,Technology,Unknown,Medium Risk,19315000000.0,2453000000.0,1989000000.0
AAPL,2007-09-30,Technology,High Growth,Medium Risk,24006000000.0,4409000000.0,3495000000.0
AAPL,2008-09-30,Technology,High Growth,Medium Risk,32479000000.0,6275000000.0,4834000000.0
AAPL,2009-09-30,Technology,High Growth,Medium Risk,42905000000.0,11740000000.0,8235000000.0
AAPL,2010-09-30,Technology,High Growth,Low Risk,65225000000.0,18385000000.0,14013000000.0
AAPL,2011-09-30,Technology,High Growth,Low Risk,108249000000.0,33790000000.0,25922000000.0
AAPL,2012-09-30,Technology,High Growth,Low Risk,156508000000.0,55241000000.0,41733000000.0
AAPL,2013-09-30,Technology,Moderate Growth,Medium Risk,170910000000.0,48999000000.0,37037000000.0
AAPL,2014-09-30,Technology,Moderate Growth,Medium Risk,182795000000.0,52503000000.0,39510000000.0
AAPL,2015-09-30,Technology,High Growth,Medium Risk,233715000000.0,71230000000.0,53394000000.0
AAPL,2016-09-30,Technology,Stable,Medium Risk,215639000000.0,60024000000.0,45687000000.0
AAPL,2017-09-30,Technology,Moderate Growth,Medium Risk,229234000000.0,61344000000.0,48351000000.0
AAPL,2018-09-30,Technology,High Growth,High Risk,265595000000.0,70898000000.0,59531000000.0
AAPL,2019-09-30,Technology,Stable,High Risk,260174000000.0,63930000000.0,55256000000.0
AAPL,2020-09-30,Technology,Moderate Growth,High Risk,274515000000.0,66288000000.0,57411000000.0
AAPL,2021-09-30,Technology,High Growth,High Risk,365817000000.0,108949000000.0,94680000000.0
AAPL,2022-09-30,Technology,Moderate Growth,High Risk,394328000000.0,119437000000.0,99803000000.0
AAPL,2023-09-30,Technology,Stable,High Risk,383285000000.0,114301000000.0,96995000000.0
AAPL,2024-09-30,Technology,Moderate Growth,High Risk,391035000000.0,123216000000.0,93736000000.0
AAPL,2025-09-30,Technology,Moderate Growth,High Risk,416161000000.0,133050000000.0,112010000000.0
GOOGL,2006-12-31,Technology,Unknown,Low Risk,10604917000.0,3549996000.0,3077446000.0
GOOGL,2007-12-31,Technology,High Growth,Low Risk,16593986000.0,5084400000.0,4203720000.0
GOOGL,2008-12-31,Technology,High Growth,Low Risk,21796000000.0,6632000000.0,4227000000.0
GOOGL,2009-12-31,Technology,Moderate Growth,Low Risk,23651000000.0,8312000000.0,6520000000.0
GOOGL,2010-12-31,Technology,High Growth,Low Risk,29321000000.0,10381000000.0,8505000000.0
GOOGL,2011-12-31,Technology,High Growth,Low Risk,37905000000.0,11742000000.0,9737000000.0
GOOGL,2012-12-31,Technology,High Growth,Low Risk,46039000000.0,13834000000.0,10737000000.0
GOOGL,2013-12-31,Technology,High Growth,Low Risk,55519000000.0,15403000000.0,12733000000.0
